I20251130 15:41:08.128051 26699 Sta.cc:383] read verilog file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/result/ysyx_25030077-330MHz/ysyx_25030077.netlist.fixed.v start
I20251130 15:41:08.128427 26699 VerilogParserRustC.cc:41] load verilog file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/result/ysyx_25030077-330MHz/ysyx_25030077.netlist.fixed.v
r str /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/result/ysyx_25030077-330MHz/ysyx_25030077.netlist.fixed.v
I20251130 15:41:08.151441 26699 Sta.cc:391] read verilog end
I20251130 15:41:08.151504 26699 Sta.cc:309] load lib start
I20251130 15:41:08.152769 26709 Sta.cc:287] read liberty /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start 
I20251130 15:41:08.153162 26709 LibParserRustC.cc:1285] load liberty file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
rust read lib file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
I20251130 15:41:08.599179 26709 LibParserRustC.cc:1294] load liberty file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20251130 15:41:08.599221 26709 Sta.cc:297] read liberty /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib end 
I20251130 15:41:08.599593 26699 Sta.cc:328] load lib end
I20251130 15:41:08.599705 26699 Sta.cc:417] link design ysyx_25030077 start
I20251130 15:41:08.601691 26764 LibParserRustC.cc:1304] link liberty file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start.
I20251130 15:41:08.604027 26764 LibParserRustC.cc:666] unkown attri name: technology in /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib line no 45
I20251130 15:41:09.934619 26764 LibParserRustC.cc:1310] link liberty file /home/meowth/ysyx/ysyx-workbench/yosys/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20251130 15:41:09.980587 26699 Sta.cc:889] assign io_master_awid[0] = io_master_arburst[0]
I20251130 15:41:09.980618 26699 Sta.cc:889] assign io_master_awid[1] = io_master_arburst[0]
I20251130 15:41:09.980626 26699 Sta.cc:889] assign io_master_awid[2] = io_master_arburst[0]
I20251130 15:41:09.980639 26699 Sta.cc:889] assign io_master_awid[3] = io_master_arburst[0]
I20251130 15:41:09.980649 26699 Sta.cc:889] assign io_master_awlen[0] = io_master_arburst[0]
I20251130 15:41:09.980657 26699 Sta.cc:889] assign io_master_awlen[1] = io_master_arburst[0]
I20251130 15:41:09.980665 26699 Sta.cc:889] assign io_master_awlen[2] = io_master_arburst[0]
I20251130 15:41:09.980674 26699 Sta.cc:889] assign io_master_awlen[3] = io_master_arburst[0]
I20251130 15:41:09.980681 26699 Sta.cc:889] assign io_master_awlen[4] = io_master_arburst[0]
I20251130 15:41:09.980688 26699 Sta.cc:889] assign io_master_awlen[5] = io_master_arburst[0]
I20251130 15:41:09.980702 26699 Sta.cc:889] assign io_master_awlen[6] = io_master_arburst[0]
I20251130 15:41:09.980716 26699 Sta.cc:889] assign io_master_awlen[7] = io_master_arburst[0]
I20251130 15:41:09.980726 26699 Sta.cc:889] assign io_master_awsize[2] = io_master_arburst[0]
I20251130 15:41:09.980734 26699 Sta.cc:889] assign io_master_awburst[0] = io_master_arburst[0]
I20251130 15:41:09.980742 26699 Sta.cc:889] assign io_master_awburst[1] = io_master_arburst[0]
I20251130 15:41:09.980751 26699 Sta.cc:889] assign io_master_wdata[1] = io_master_arburst[0]
I20251130 15:41:09.980758 26699 Sta.cc:889] assign io_master_wdata[2] = io_master_arburst[0]
I20251130 15:41:09.980769 26699 Sta.cc:889] assign io_master_wdata[3] = io_master_arburst[0]
I20251130 15:41:09.980777 26699 Sta.cc:889] assign io_master_wdata[4] = io_master_arburst[0]
I20251130 15:41:09.980785 26699 Sta.cc:889] assign io_master_wdata[5] = io_master_arburst[0]
I20251130 15:41:09.980793 26699 Sta.cc:889] assign io_master_wdata[6] = io_master_arburst[0]
I20251130 15:41:09.980801 26699 Sta.cc:889] assign io_master_wdata[7] = io_master_arburst[0]
I20251130 15:41:09.980810 26699 Sta.cc:889] assign io_master_wdata[9] = io_master_arburst[0]
I20251130 15:41:09.980818 26699 Sta.cc:889] assign io_master_wdata[10] = io_master_arburst[0]
I20251130 15:41:09.980826 26699 Sta.cc:889] assign io_master_wdata[11] = io_master_arburst[0]
I20251130 15:41:09.980836 26699 Sta.cc:889] assign io_master_wdata[12] = io_master_arburst[0]
I20251130 15:41:09.980851 26699 Sta.cc:889] assign io_master_wdata[13] = io_master_arburst[0]
I20251130 15:41:09.980875 26699 Sta.cc:889] assign io_master_wdata[14] = io_master_arburst[0]
I20251130 15:41:09.980895 26699 Sta.cc:889] assign io_master_wdata[15] = io_master_arburst[0]
I20251130 15:41:09.980906 26699 Sta.cc:889] assign io_master_wdata[17] = io_master_arburst[0]
I20251130 15:41:09.980914 26699 Sta.cc:889] assign io_master_wdata[18] = io_master_arburst[0]
I20251130 15:41:09.980931 26699 Sta.cc:889] assign io_master_wdata[19] = io_master_arburst[0]
I20251130 15:41:09.980942 26699 Sta.cc:889] assign io_master_wdata[20] = io_master_arburst[0]
I20251130 15:41:09.980949 26699 Sta.cc:889] assign io_master_wdata[21] = io_master_arburst[0]
I20251130 15:41:09.980965 26699 Sta.cc:889] assign io_master_wdata[22] = io_master_arburst[0]
I20251130 15:41:09.980975 26699 Sta.cc:889] assign io_master_wdata[23] = io_master_arburst[0]
I20251130 15:41:09.980983 26699 Sta.cc:889] assign io_master_wdata[25] = io_master_arburst[0]
I20251130 15:41:09.980999 26699 Sta.cc:889] assign io_master_wdata[26] = io_master_arburst[0]
I20251130 15:41:09.981019 26699 Sta.cc:889] assign io_master_wdata[27] = io_master_arburst[0]
I20251130 15:41:09.981036 26699 Sta.cc:889] assign io_master_wdata[28] = io_master_arburst[0]
I20251130 15:41:09.981056 26699 Sta.cc:889] assign io_master_wdata[29] = io_master_arburst[0]
I20251130 15:41:09.981076 26699 Sta.cc:889] assign io_master_wdata[30] = io_master_arburst[0]
I20251130 15:41:09.981093 26699 Sta.cc:889] assign io_master_wdata[31] = io_master_arburst[0]
I20251130 15:41:09.981113 26699 Sta.cc:889] assign io_master_arid[0] = io_master_arburst[0]
I20251130 15:41:09.981132 26699 Sta.cc:889] assign io_master_arid[1] = io_master_arburst[0]
I20251130 15:41:09.981153 26699 Sta.cc:889] assign io_master_arid[2] = io_master_arburst[0]
I20251130 15:41:09.981171 26699 Sta.cc:889] assign io_master_arid[3] = io_master_arburst[0]
I20251130 15:41:09.981190 26699 Sta.cc:889] assign io_master_arlen[0] = io_master_arburst[0]
I20251130 15:41:09.981207 26699 Sta.cc:889] assign io_master_arlen[1] = io_master_arburst[0]
I20251130 15:41:09.981226 26699 Sta.cc:889] assign io_master_arlen[2] = io_master_arburst[0]
I20251130 15:41:09.981245 26699 Sta.cc:889] assign io_master_arlen[3] = io_master_arburst[0]
I20251130 15:41:09.981263 26699 Sta.cc:889] assign io_master_arlen[4] = io_master_arburst[0]
I20251130 15:41:09.981282 26699 Sta.cc:889] assign io_master_arlen[5] = io_master_arburst[0]
I20251130 15:41:09.981302 26699 Sta.cc:889] assign io_master_arlen[6] = io_master_arburst[0]
I20251130 15:41:09.981318 26699 Sta.cc:889] assign io_master_arlen[7] = io_master_arburst[0]
I20251130 15:41:09.981338 26699 Sta.cc:889] assign io_master_arsize[2] = io_master_arburst[0]
I20251130 15:41:09.981359 26699 Sta.cc:889] assign io_master_arburst[1] = io_master_arburst[0]
I20251130 15:41:09.981377 26699 Sta.cc:889] assign io_master_rready = io_master_bready
I20251130 15:41:09.981393 26699 Sta.cc:889] assign io_master_arlock = io_master_arburst[0]
I20251130 15:41:09.981412 26699 Sta.cc:889] assign io_master_arcache[0] = io_master_arburst[0]
I20251130 15:41:09.981434 26699 Sta.cc:889] assign io_master_arcache[1] = io_master_arburst[0]
I20251130 15:41:09.981453 26699 Sta.cc:889] assign io_master_arcache[2] = io_master_arburst[0]
I20251130 15:41:09.981472 26699 Sta.cc:889] assign io_master_arcache[3] = io_master_arburst[0]
I20251130 15:41:09.981489 26699 Sta.cc:889] assign io_master_arprot[0] = io_master_arburst[0]
I20251130 15:41:09.981510 26699 Sta.cc:889] assign io_master_arprot[1] = io_master_arburst[0]
I20251130 15:41:09.981529 26699 Sta.cc:889] assign io_master_arprot[2] = io_master_arburst[0]
I20251130 15:41:09.981547 26699 Sta.cc:889] assign io_master_arqos[0] = io_master_arburst[0]
I20251130 15:41:09.981566 26699 Sta.cc:889] assign io_master_arqos[1] = io_master_arburst[0]
I20251130 15:41:09.981585 26699 Sta.cc:889] assign io_master_arqos[2] = io_master_arburst[0]
I20251130 15:41:09.981603 26699 Sta.cc:889] assign io_master_arqos[3] = io_master_arburst[0]
I20251130 15:41:09.981622 26699 Sta.cc:889] assign io_master_awlock = io_master_arburst[0]
I20251130 15:41:09.981650 26699 Sta.cc:889] assign io_master_awcache[0] = io_master_arburst[0]
I20251130 15:41:09.981668 26699 Sta.cc:889] assign io_master_awcache[1] = io_master_arburst[0]
I20251130 15:41:09.981688 26699 Sta.cc:889] assign io_master_awcache[2] = io_master_arburst[0]
I20251130 15:41:09.981707 26699 Sta.cc:889] assign io_master_awcache[3] = io_master_arburst[0]
I20251130 15:41:09.981726 26699 Sta.cc:889] assign io_master_awprot[0] = io_master_arburst[0]
I20251130 15:41:09.981745 26699 Sta.cc:889] assign io_master_awprot[1] = io_master_arburst[0]
I20251130 15:41:09.981763 26699 Sta.cc:889] assign io_master_awprot[2] = io_master_arburst[0]
I20251130 15:41:09.981782 26699 Sta.cc:889] assign io_master_awqos[0] = io_master_arburst[0]
I20251130 15:41:09.981801 26699 Sta.cc:889] assign io_master_awqos[1] = io_master_arburst[0]
I20251130 15:41:09.981819 26699 Sta.cc:889] assign io_master_awqos[2] = io_master_arburst[0]
I20251130 15:41:09.981838 26699 Sta.cc:889] assign io_master_awqos[3] = io_master_arburst[0]
I20251130 15:41:09.981858 26699 Sta.cc:889] assign io_slave_awready = io_master_arburst[0]
I20251130 15:41:09.981876 26699 Sta.cc:889] assign io_slave_wready = io_master_arburst[0]
I20251130 15:41:09.981895 26699 Sta.cc:889] assign io_slave_bvalid = io_master_arburst[0]
I20251130 15:41:09.981914 26699 Sta.cc:889] assign io_slave_bid[0] = io_master_arburst[0]
I20251130 15:41:09.981932 26699 Sta.cc:889] assign io_slave_bid[1] = io_master_arburst[0]
I20251130 15:41:09.981951 26699 Sta.cc:889] assign io_slave_bid[2] = io_master_arburst[0]
I20251130 15:41:09.981969 26699 Sta.cc:889] assign io_slave_bid[3] = io_master_arburst[0]
I20251130 15:41:09.981990 26699 Sta.cc:889] assign io_slave_bresp[0] = io_master_arburst[0]
I20251130 15:41:09.982009 26699 Sta.cc:889] assign io_slave_bresp[1] = io_master_arburst[0]
I20251130 15:41:09.982029 26699 Sta.cc:889] assign io_slave_arready = io_master_arburst[0]
I20251130 15:41:09.982048 26699 Sta.cc:889] assign io_slave_rvalid = io_master_arburst[0]
I20251130 15:41:09.982066 26699 Sta.cc:889] assign io_slave_rdata[0] = io_master_arburst[0]
I20251130 15:41:09.982085 26699 Sta.cc:889] assign io_slave_rdata[1] = io_master_arburst[0]
I20251130 15:41:09.982103 26699 Sta.cc:889] assign io_slave_rdata[2] = io_master_arburst[0]
I20251130 15:41:09.982120 26699 Sta.cc:889] assign io_slave_rdata[3] = io_master_arburst[0]
I20251130 15:41:09.982141 26699 Sta.cc:889] assign io_slave_rdata[4] = io_master_arburst[0]
I20251130 15:41:09.982159 26699 Sta.cc:889] assign io_slave_rdata[5] = io_master_arburst[0]
I20251130 15:41:09.982182 26699 Sta.cc:889] assign io_slave_rdata[6] = io_master_arburst[0]
I20251130 15:41:09.982200 26699 Sta.cc:889] assign io_slave_rdata[7] = io_master_arburst[0]
I20251130 15:41:09.982218 26699 Sta.cc:889] assign io_slave_rdata[8] = io_master_arburst[0]
I20251130 15:41:09.982235 26699 Sta.cc:889] assign io_slave_rdata[9] = io_master_arburst[0]
I20251130 15:41:09.982254 26699 Sta.cc:889] assign io_slave_rdata[10] = io_master_arburst[0]
I20251130 15:41:09.982271 26699 Sta.cc:889] assign io_slave_rdata[11] = io_master_arburst[0]
I20251130 15:41:09.982287 26699 Sta.cc:889] assign io_slave_rdata[12] = io_master_arburst[0]
I20251130 15:41:09.982304 26699 Sta.cc:889] assign io_slave_rdata[13] = io_master_arburst[0]
I20251130 15:41:09.982321 26699 Sta.cc:889] assign io_slave_rdata[14] = io_master_arburst[0]
I20251130 15:41:09.982337 26699 Sta.cc:889] assign io_slave_rdata[15] = io_master_arburst[0]
I20251130 15:41:09.982357 26699 Sta.cc:889] assign io_slave_rdata[16] = io_master_arburst[0]
I20251130 15:41:09.982378 26699 Sta.cc:889] assign io_slave_rdata[17] = io_master_arburst[0]
I20251130 15:41:09.982394 26699 Sta.cc:889] assign io_slave_rdata[18] = io_master_arburst[0]
I20251130 15:41:09.982412 26699 Sta.cc:889] assign io_slave_rdata[19] = io_master_arburst[0]
I20251130 15:41:09.982431 26699 Sta.cc:889] assign io_slave_rdata[20] = io_master_arburst[0]
I20251130 15:41:09.982450 26699 Sta.cc:889] assign io_slave_rdata[21] = io_master_arburst[0]
I20251130 15:41:09.982473 26699 Sta.cc:889] assign io_slave_rdata[22] = io_master_arburst[0]
I20251130 15:41:09.982494 26699 Sta.cc:889] assign io_slave_rdata[23] = io_master_arburst[0]
I20251130 15:41:09.982515 26699 Sta.cc:889] assign io_slave_rdata[24] = io_master_arburst[0]
I20251130 15:41:09.982533 26699 Sta.cc:889] assign io_slave_rdata[25] = io_master_arburst[0]
I20251130 15:41:09.982553 26699 Sta.cc:889] assign io_slave_rdata[26] = io_master_arburst[0]
I20251130 15:41:09.982571 26699 Sta.cc:889] assign io_slave_rdata[27] = io_master_arburst[0]
I20251130 15:41:09.982590 26699 Sta.cc:889] assign io_slave_rdata[28] = io_master_arburst[0]
I20251130 15:41:09.982607 26699 Sta.cc:889] assign io_slave_rdata[29] = io_master_arburst[0]
I20251130 15:41:09.982626 26699 Sta.cc:889] assign io_slave_rdata[30] = io_master_arburst[0]
I20251130 15:41:09.982645 26699 Sta.cc:889] assign io_slave_rdata[31] = io_master_arburst[0]
I20251130 15:41:09.982663 26699 Sta.cc:889] assign io_slave_rid[0] = io_master_arburst[0]
